,id,AL,AZ,CA,CO,CT,FL,GA,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MO,NJ,NM,NY,NC,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV,WI,cli,ili,wnohh_cmnty_cli,wbelief_masking_effective,wbelief_distancing_effective,wcovid_vaccinated_friends,wlarge_event_indoors,wothers_masked_public,wothers_distanced_public,wshop_indoors,wrestaurant_indoors,wworried_catch_covid,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask_7d,public_transit,worried_finances,tested_positive,cli.1,ili.1,wnohh_cmnty_cli.1,wbelief_masking_effective.1,wbelief_distancing_effective.1,wcovid_vaccinated_friends.1,wlarge_event_indoors.1,wothers_masked_public.1,wothers_distanced_public.1,wshop_indoors.1,wrestaurant_indoors.1,wworried_catch_covid.1,hh_cmnty_cli.1,nohh_cmnty_cli.1,wearing_mask_7d.1,public_transit.1,worried_finances.1,tested_positive.1,cli.2,ili.2,wnohh_cmnty_cli.2,wbelief_masking_effective.2,wbelief_distancing_effective.2,wcovid_vaccinated_friends.2,wlarge_event_indoors.2,wothers_masked_public.2,wothers_distanced_public.2,wshop_indoors.2,wrestaurant_indoors.2,wworried_catch_covid.2,hh_cmnty_cli.2,nohh_cmnty_cli.2,wearing_mask_7d.2,public_transit.2,worried_finances.2,tested_positive.2
0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14255161543200756,0.1386334187442544,0.2680120538226263,0.43571578736282834,0.43509971867133057,0.1903810297966917,0.4908972588189302,0.18010881382511665,0.5114000094752926,0.8048584485882397,0.5650823925275411,0.5293026021336864,0.2817407593456147,0.27003309944594556,0.5612124354519185,0.0425631766952993,0.647107813554074,0.3894236532238533,0.13418724609229993,0.1314493815130114,0.248754899644691,0.4248492410193059,0.4035734994121829,0.15781905754257464,0.5072287378502942,0.18322955118706938,0.44444418221412596,0.7598537851842315,0.5861656562742543,0.49592535671126403,0.2627491041541534,0.25482148378956604,0.5631996522798106,0.06531865064342604,0.6315800150084523,0.36042189334924274,0.11332673517259749,0.11810447243710519,0.23825854890042097,0.4215058064743338,0.4400052205942595,0.1602894472169325,0.5260594207182788,0.17517652022045357,0.4555539152271326,0.7734966366854001,0.5996227430159664,0.4898681886239209,0.25857161284980323,0.24522156257344555,0.5599104368656854,0.0650176909703215,0.6212884184447307,0.3516432227471422
1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13418724609229993,0.1314493815130114,0.248754899644691,0.4248492410193059,0.4035734994121829,0.15781905754257464,0.5072287378502942,0.18322955118706938,0.44444418221412596,0.7598537851842315,0.5878368467192899,0.49592535671126403,0.2627491041541534,0.25482148378956604,0.5581319830404924,0.06531865064342604,0.6315800150084523,0.36042189334924274,0.11332673517259749,0.11810447243710519,0.23825854890042097,0.4215058064743338,0.4400052205942595,0.1602894472169325,0.5261493343869623,0.17517652022045357,0.4555539152271326,0.7734966366854001,0.5996227430159664,0.4898681886239209,0.25857161284980323,0.24522156257344555,0.5572064111911421,0.0650176909703215,0.6212884184447307,0.3516432227471422,0.12763599662041458,0.1354272180641441,0.22838670558914803,0.4109038957533868,0.4478158696329233,0.19496696868847607,0.497690639106631,0.18569375030660126,0.4670240393672155,0.7638355115348148,0.5750895671385787,0.4768870474507034,0.2545865703191149,0.2375333902030721,0.557467493054011,0.0482699431988344,0.727512506678357,0.3024035073815115
2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11332673517259749,0.11810447243710519,0.23825854890042097,0.4215058064743338,0.4400052205942595,0.1602894472169325,0.5261493343869623,0.17517652022045357,0.4555539152271326,0.7734966366854001,0.6013323003536032,0.4898681886239209,0.25857161284980323,0.24522156257344555,0.5520692095815604,0.0650176909703215,0.6212884184447307,0.3516432227471422,0.12763599662041458,0.1354272180641441,0.22838670558914803,0.4109038957533868,0.4478158696329233,0.19496696868847607,0.49777570400513715,0.18569375030660126,0.4670240393672155,0.7638355115348148,0.5750895671385787,0.4768870474507034,0.2545865703191149,0.2375333902030721,0.5547484572921091,0.0482699431988344,0.727512506678357,0.3024035073815115,0.12391783132565799,0.13044227150339643,0.2251055059697306,0.4018723267302291,0.4488884726871105,0.20620228091555326,0.496357929027455,0.1879158192910857,0.4389330420576735,0.7565769109903844,0.5816724220065537,0.483233068358053,0.2550119485183042,0.2356035478301988,0.5538757601557839,0.055201942801953924,0.6434495233185085,0.3068154962391007
3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12763599662041458,0.1354272180641441,0.22838670558914803,0.4109038957533868,0.4478158696329233,0.19496696868847607,0.49777570400513715,0.18569375030660126,0.4670240393672155,0.7638355115348148,0.5767291790458174,0.4768870474507034,0.2545865703191149,0.2375333902030721,0.5495827389988049,0.0482699431988344,0.727512506678357,0.3024035073815115,0.12391783132565799,0.13044227150339643,0.2251055059697306,0.4018723267302291,0.4488884726871105,0.20620228091555326,0.4964427661401869,0.1879158192910857,0.4389330420576735,0.7565769109903844,0.5816724220065537,0.483233068358053,0.2550119485183042,0.2356035478301988,0.5511346558451444,0.055201942801953924,0.6434495233185085,0.3068154962391007,0.11318587072217688,0.12288300891764951,0.24033364868617135,0.41408455522320997,0.4449270477237568,0.18270821483789446,0.5056933711017667,0.17345765358914342,0.42692413628270776,0.7872496075063067,0.588367174642322,0.4289275177091969,0.2523154223669376,0.234357833532335,0.5374933481185464,0.058132297743782035,0.6054884490767138,0.28530138318272086
4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12391783132565799,0.13044227150339643,0.2251055059697306,0.4018723267302291,0.4488884726871105,0.20620228091555326,0.4964427661401869,0.1879158192910857,0.4389330420576735,0.7565769109903844,0.5833308019941784,0.483233068358053,0.2550119485183042,0.2356035478301988,0.5459270109587745,0.055201942801953924,0.6434495233185085,0.3068154962391007,0.11318587072217688,0.12288300891764951,0.24033364868617135,0.41408455522320997,0.4449270477237568,0.18270821483789446,0.5057798038210262,0.17345765358914342,0.42692413628270776,0.7872496075063067,0.588367174642322,0.4289275177091969,0.2523154223669376,0.234357833532335,0.5346515859726151,0.058132297743782035,0.6054884490767138,0.28530138318272086,0.09859887271855265,0.104948954458406,0.22777861875199917,0.3454236785233604,0.36992360324102513,0.12989235534383892,0.5238300176545582,0.18035076226506785,0.3937453668882026,0.7979680989265407,0.6073250511482728,0.41590850968511783,0.23393041909079018,0.21614203085286435,0.5281953780562425,0.0713195811213036,0.6543294269660276,0.2532594975687867
5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11318587072217688,0.12288300891764951,0.24033364868617135,0.41408455522320997,0.4449270477237568,0.18270821483789446,0.5057798038210262,0.17345765358914342,0.42692413628270776,0.7872496075063067,0.5900446417370074,0.4289275177091969,0.2523154223669376,0.234357833532335,0.5292527078452497,0.058132297743782035,0.6054884490767138,0.28530138318272086,0.09859887271855265,0.104948954458406,0.22777861875199917,0.3454236785233604,0.36992360324102513,0.12989235534383892,0.523919550275397,0.18035076226506785,0.3937453668882026,0.7979680989265407,0.6073250511482728,0.41590850968511783,0.23393041909079018,0.21614203085286435,0.5252964867441694,0.0713195811213036,0.6543294269660276,0.2532594975687867,0.07376774963937509,0.08099812976822908,0.22606678341583225,0.3312293437013776,0.3924940692818977,0.12376414586901574,0.4762549414663365,0.1837892710555379,0.4126377351900741,0.7378651873995179,0.5660146331058671,0.3911507559250351,0.22096679052820326,0.21634999757044573,0.5278607352876051,0.08054182609885704,0.623037973446372,0.24765619292367863
6,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09859887271855265,0.104948954458406,0.22777861875199917,0.3454236785233604,0.36992360324102513,0.12989235534383892,0.523919550275397,0.18035076226506785,0.3937453668882026,0.7979680989265407,0.6090565681889691,0.41590850968511783,0.23393041909079018,0.21614203085286435,0.5197890726487393,0.0713195811213036,0.6543294269660276,0.2532594975687867,0.07376774963937509,0.08099812976822908,0.22606678341583225,0.3312293437013776,0.3924940692818977,0.12376414586901574,0.47633634259200686,0.1837892710555379,0.4126377351900741,0.7378651873995179,0.5660146331058671,0.3911507559250351,0.22096679052820326,0.21634999757044573,0.5249597878426127,0.08054182609885704,0.623037973446372,0.24765619292367863,0.07810377025160571,0.08565529440084384,0.22897392931599653,0.38014343931007355,0.45602948635715057,0.1551627463433669,0.5199336934335635,0.18803568044394747,0.491667240226042,0.8172481021631666,0.577885883422417,0.40823223775516015,0.2177302869418278,0.2084041747264249,0.5180559611252006,0.056758873155187684,0.6141543990723277,0.257620716672785
7,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07376774963937509,0.08099812976822908,0.22606678341583225,0.3312293437013776,0.3924940692818977,0.12376414586901574,0.47633634259200686,0.1837892710555379,0.4126377351900741,0.7378651873995179,0.5676283718782974,0.3911507559250351,0.22096679052820326,0.21634999757044573,0.5194484674346642,0.08054182609885704,0.623037973446372,0.24765619292367863,0.07810377025160571,0.08565529440084384,0.22897392931599653,0.38014343931007355,0.45602948635715057,0.1551627463433669,0.5200225600976849,0.18803568044394747,0.491667240226042,0.8172481021631666,0.577885883422417,0.40823223775516015,0.2177302869418278,0.2084041747264249,0.515094770576783,0.056758873155187684,0.6141543990723277,0.257620716672785,0.08995245509040105,0.08948788151341526,0.22302347894591945,0.3734793151156528,0.4369880575038234,0.1714367398585921,0.5178157848174084,0.18199862599804728,0.4742539175897057,0.8030019523016647,0.5688235556427363,0.39485436485561,0.20988494551263312,0.20507223088833573,0.5233349037387786,0.05910896593472417,0.5732856710833176,0.28375571333140537
8,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07810377025160571,0.08565529440084384,0.22897392931599653,0.38014343931007355,0.45602948635715057,0.1551627463433669,0.5200225600976849,0.18803568044394747,0.491667240226042,0.8172481021631666,0.5795334677807963,0.40823223775516015,0.2177302869418278,0.2084041747264249,0.5094689982348919,0.056758873155187684,0.6141543990723277,0.257620716672785,0.08995245509040105,0.08948788151341526,0.22302347894591945,0.3734793151156528,0.4369880575038234,0.1714367398585921,0.5179042894902297,0.18199862599804728,0.4742539175897057,0.8030019523016647,0.5688235556427363,0.39485436485561,0.20988494551263312,0.20507223088833573,0.5204061483980036,0.05910896593472417,0.5732856710833176,0.28375571333140537,0.09196530835087376,0.08567642288015066,0.2110896149198913,0.40608160684940353,0.4369710190600755,0.15594435510306193,0.5424940197918603,0.16727273478762572,0.476314201200962,0.8136934147371484,0.5583879367843745,0.3899418238191221,0.20234125546396567,0.19392855624244196,0.5255062976893757,0.07881709089187239,0.48602379168104615,0.2613719788861518
9,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08995245509040105,0.08948788151341526,0.22302347894591945,0.3734793151156528,0.4369880575038234,0.1714367398585921,0.5179042894902297,0.18199862599804728,0.4742539175897057,0.8030019523016647,0.5704453028074262,0.39485436485561,0.20988494551263312,0.20507223088833573,0.514841997586735,0.05910896593472417,0.5732856710833176,0.28375571333140537,0.09196530835087376,0.08567642288015066,0.2110896149198913,0.40608160684940353,0.4369710190600755,0.15594435510306193,0.5425867424494868,0.16727273478762572,0.476314201200962,0.8136934147371484,0.5583879367843745,0.3899418238191221,0.20234125546396567,0.19392855624244196,0.5225908839624078,0.07881709089187239,0.48602379168104615,0.2613719788861518,0.09425402539439214,0.09092932277102088,0.21251955193664607,0.37198672203254235,0.4526985630610545,0.17998035464329343,0.5353520879297707,0.15974158679358855,0.5234570717370899,0.7758044408793259,0.5447365601444285,0.3583906745094261,0.20439993884638188,0.2031764705407441,0.5228772826751095,0.06484076922317228,0.5732147318342937,0.24189898214081718
